Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
aktzweck_education;15;0.4143
aktzweck_shopping;1;0
aktzweck_shopping;2;0.3601
aktzweck_shopping;3;-0.0336
aktzweck_shopping;4;-0.7325
aktzweck_shopping;5;-1.3988
aktzweck_shopping;6;-1.4336
aktzweck_shopping;7;-1.7900
aktzweck_shopping;8;-1.9141
aktzweck_shopping;9;-1.8165
aktzweck_shopping;10;-1.8835
aktzweck_shopping;11;-0.8930
aktzweck_shopping;12;-2.0526
aktzweck_shopping;13;-2.1249
aktzweck_shopping;14;-0.0774
aktzweck_shopping;15;-0.8133
aktzweck_transport;1;0
aktzweck_transport;2;-0.7079
aktzweck_transport;3;-1.4174
aktzweck_transport;4;-1.4666
aktzweck_transport;5;-1.6931
aktzweck_transport;6;-1.7285
aktzweck_transport;7;-1.4395
aktzweck_transport;8;-1.2400
aktzweck_transport;9;-1.3275
aktzweck_transport;10;-1.2030
aktzweck_transport;11;-0.8948
aktzweck_transport;12;-1.4944
aktzweck_transport;13;-0.5323
aktzweck_transport;14;0.5407
aktzweck_transport;15;0.3181
wochenzbudget_zweck_kat1;1;0
wochenzbudget_zweck_kat1;2;-0.5342
wochenzbudget_zweck_kat1;3;-0.5188
wochenzbudget_zweck_kat1;4;-1.2664
wochenzbudget_zweck_kat1;5;-1.8557
wochenzbudget_zweck_kat1;6;-2.8356
wochenzbudget_zweck_kat1;7;-3.6093
wochenzbudget_zweck_kat1;8;-3.8328
wochenzbudget_zweck_kat1;9;-4.7444
wochenzbudget_zweck_kat1;10;-4.0369
wochenzbudget_zweck_kat1;11;-5.9192
wochenzbudget_zweck_kat1;12;-6.5021
wochenzbudget_zweck_kat1;13;-19.0436
wochenzbudget_zweck_kat1;14;-15.0560
wochenzbudget_zweck_kat1;15;-18.0829
wochenzbudget_zweck_kat2;1;0
wochenzbudget_zweck_kat2;2;-0.3493
wochenzbudget_zweck_kat2;3;0.0235
wochenzbudget_zweck_kat2;4;-0.0939
wochenzbudget_zweck_kat2;5;-0.7763
wochenzbudget_zweck_kat2;6;-1.1214
wochenzbudget_zweck_kat2;7;-1.7687
wochenzbudget_zweck_kat2;8;-2.0973
