Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
aktzweck_shopping;5;-0.5258
aktzweck_shopping;6;-0.1563
aktzweck_shopping;7;-0.6826
aktzweck_shopping;8;-0.0569
aktzweck_shopping;9;-0.0302
aktzweck_shopping;10;-0.2028
aktzweck_shopping;11;-9.0485
aktzweck_shopping;12;-8.8722
aktzweck_shopping;13;0.4234
aktzweck_shopping;14;-0.4391
aktzweck_shopping;15;-0.2692
aktzweck_transport;1;0
aktzweck_transport;2;-0.0898
aktzweck_transport;3;-0.6455
aktzweck_transport;4;-0.8283
aktzweck_transport;5;-0.8898
aktzweck_transport;6;-0.6779
aktzweck_transport;7;-0.9230
aktzweck_transport;8;-0.7904
aktzweck_transport;9;-0.4176
aktzweck_transport;10;0.7979
aktzweck_transport;11;-0.7107
aktzweck_transport;12;-7.2895
aktzweck_transport;13;-7.5555
aktzweck_transport;14;-5.9799
aktzweck_transport;15;-1.3723
taghat2akt;1;0
taghat2akt;2;0.1595
taghat2akt;3;-0.0416
taghat2akt;4;-0.1638
taghat2akt;5;0.0580
taghat2akt;6;0.7437
taghat2akt;7;1.0504
taghat2akt;8;1.1768
taghat2akt;9;3.1188
taghat2akt;10;-0.9880
taghat2akt;11;0.7520
taghat2akt;12;5.5823
taghat2akt;13;-2.1522
taghat2akt;14;-2.6963
taghat2akt;15;-2.3974
taghat3akt;1;0
taghat3akt;2;0.1533
taghat3akt;3;0.0451
taghat3akt;4;-0.0172
taghat3akt;5;0.1232
taghat3akt;6;0.3842
taghat3akt;7;0.4298
taghat3akt;8;0.4390
taghat3akt;9;1.0276
taghat3akt;10;0.0317
taghat3akt;11;0.3023
taghat3akt;12;-1.2244
taghat3akt;13;-0.9174
taghat3akt;14;-8.6121
taghat3akt;15;-1.3892
taghat4akt;1;0
taghat4akt;2;0.1232
taghat4akt;3;0.0175
taghat4akt;4;0.0573
taghat4akt;5;0.1871
taghat4akt;6;0.4680
taghat4akt;7;0.1353
taghat4akt;8;0.4859
taghat4akt;9;0.5616
taghat4akt;10;0.3263
taghat4akt;11;0.6149
taghat4akt;12;-0.4693
taghat4akt;13;-0.6635
taghat4akt;14;-0.4917
taghat4akt;15;-1.9723
taghat5akt;1;0
taghat5akt;2;0.0880
taghat5akt;3;0.00977
taghat5akt;4;0.0241
taghat5akt;5;0.2012
taghat5akt;6;0.3069
taghat5akt;7;-0.1496
taghat5akt;8;0.0497
taghat5akt;9;0.7906
taghat5akt;10;0.9150
taghat5akt;11;0.1955
taghat5akt;12;-0.2948
taghat5akt;13;-1.0544
taghat5akt;14;-8.7361
taghat5akt;15;-1.0193
taghat6akt;1;0
taghat6akt;2;0.0169
taghat6akt;3;0.0327
taghat6akt;4;0.0755
taghat6akt;5;0.0880
taghat6akt;6;0.0916
taghat6akt;7;-0.5244
taghat6akt;8;0.5926
taghat6akt;9;1.4425
taghat6akt;10;0.4569
taghat6akt;11;0.4582
taghat6akt;12;0.7976
taghat6akt;13;-0.4866
taghat6akt;14;-8.6216
taghat6akt;15;-0.3302
tourtyp_work;1;0
tourtyp_work;2;0.0302
tourtyp_work;3;0.0424
tourtyp_work;4;-0.1861
tourtyp_work;5;-0.2139
tourtyp_work;6;-0.3598
tourtyp_work;7;-0.4972
tourtyp_work;8;-1.2213
tourtyp_work;9;-2.5397
tourtyp_work;10;-1.3044
tourtyp_work;11;-2.4295
tourtyp_work;12;-0.7293
tourtyp_work;13;-0.8236
tourtyp_work;14;1.4089
tourtyp_work;15;0.7408
tourtyp_education;1;0
tourtyp_education;2;-0.0857
tourtyp_education;3;-0.0318
tourtyp_education;4;0.0355
tourtyp_education;5;-0.00179
tourtyp_education;6;-0.4429
tourtyp_education;7;-0.3262
tourtyp_education;8;-1.4610
tourtyp_education;9;-1.0219
tourtyp_education;10;-1.7647
tourtyp_education;11;-1.1887
tourtyp_education;12;-8.9399
tourtyp_education;13;-7.8160
tourtyp_education;14;-5.2717
tourtyp_education;15;-9.6669
tourtyp_shopping;1;0
tourtyp_shopping;2;0.0250
tourtyp_shopping;3;-0.1204
tourtyp_shopping;4;-0.5328
tourtyp_shopping;5;-0.6409
tourtyp_shopping;6;-0.7650
tourtyp_shopping;7;-0.6035
tourtyp_shopping;8;-0.6475
tourtyp_shopping;9;-0.4922
tourtyp_shopping;10;-1.4108
tourtyp_shopping;11;-0.1920
tourtyp_shopping;12;0.8234
tourtyp_shopping;13;-1.0172
tourtyp_shopping;14;0.7730
tourtyp_shopping;15;0.2172
tourtyp_transport;1;0
tourtyp_transport;2;-0.2027
tourtyp_transport;3;-0.1484
